seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12602,723147,19,44419552,94,James Tavernier (Rangers) Yellow Card at 94',James Tavernier Yellow Card,2,5400,90'+4',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,141144,James Tavernier,2024-12-16 05:56:47
12602,723147,20,44419624,76,Álex Valle (Celtic) Substitution at 90',Álex Valle Substitution,3,5400,90',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,192146,Álex Valle,2024-12-16 05:56:47
12602,723147,20,44419624,76,Álex Valle (Celtic) Substitution at 90',Álex Valle Substitution,3,5400,90',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,119088,Greg Taylor,2024-12-16 05:56:47
12602,723147,21,44419703,94,Liam Scales (Celtic) Yellow Card at 93',Liam Scales Yellow Card,3,5580,93',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,288959,Liam Scales,2024-12-16 05:56:47
12602,723147,22,44419726,94,Hamza Igmane (Rangers) Yellow Card at 95',Hamza Igmane Yellow Card,3,5700,95',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,358999,Hamza Igmane,2024-12-16 05:56:47
12602,723147,23,44419824,76,Cyriel Dessers (Rangers) Substitution at 101',Cyriel Dessers Substitution,3,6060,101',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,212250,Cyriel Dessers,2024-12-16 05:56:47
12602,723147,23,44419824,76,Cyriel Dessers (Rangers) Substitution at 101',Cyriel Dessers Substitution,3,6060,101',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,358999,Hamza Igmane,2024-12-16 05:56:47
12602,723147,24,44419887,94,Cyriel Dessers (Rangers) Yellow Card at 102',Cyriel Dessers Yellow Card,3,6120,102',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,212250,Cyriel Dessers,2024-12-16 05:56:47
12602,723147,25,44419966,76,James Forrest (Celtic) Substitution at 105',James Forrest Substitution,4,6300,105',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,141303,James Forrest,2024-12-16 05:56:47
12602,723147,26,44419967,76,Connor Barron (Rangers) Substitution at 105',Connor Barron Substitution,4,6300,105',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,291455,Connor Barron,2024-12-16 05:56:47
12602,723147,27,44419968,76,Kieran Dowell (Rangers) Substitution at 105',Kieran Dowell Substitution,4,6300,105',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,194114,Kieran Dowell,2024-12-16 05:56:47
12602,723147,25,44419966,76,James Forrest (Celtic) Substitution at 105',James Forrest Substitution,4,6300,105',256,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,260262,Nicolas Gerrit Kühn,2024-12-16 05:56:47
12602,723147,26,44419967,76,Connor Barron (Rangers) Substitution at 105',Connor Barron Substitution,4,6300,105',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,303049,Mohammed Diomande,2024-12-16 05:56:47
12602,723147,27,44419968,76,Kieran Dowell (Rangers) Substitution at 105',Kieran Dowell Substitution,4,6300,105',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,217476,Václav Cerný,2024-12-16 05:56:47
12602,723147,28,44420003,94,Dujon Sterling (Rangers) Yellow Card at 107',Dujon Sterling Yellow Card,4,6420,107',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,231170,Dujon Sterling,2024-12-16 05:56:47
12602,723147,29,44420036,94,Ianis Hagi (Rangers) Yellow Card at 111',Ianis Hagi Yellow Card,4,6660,111',257,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,240062,Ianis Hagi,2024-12-16 05:56:47
