seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12827,716361,23,43902330,117,Dieke Van Straten (FC Utrecht) Shot Off Target at 8',Dieke Van Straten Shot Off Targe,1,442,8',21978,0,0,1980-01-01,0.0,0.0,0.4,0.461,0.0,0.684,317223.0,Dieke Van Straten,2024-10-03 05:37:51
12827,716361,24,43902331,124,Lieke De With (Excelsior) Throw In at 9',Lieke De With Throw In,1,513,9',20799,0,0,1980-01-01,0.0,0.0,0.802,0.0,0.65,0.881,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,25,43902332,124,Lieke De With (Excelsior) Throw In at 9',Lieke De With Throw In,1,538,9',20799,0,0,1980-01-01,0.0,0.0,0.642,0.0,0.794,0.101,350364.0,Lieke De With,2024-10-03 05:37:51
12827,716361,26,43902333,68,Sabrine Ellouzi (Excelsior) Offside at 10',Sabrine Ellouzi Offside,1,587,10',20799,0,0,1980-01-01,0.0,0.0,0.698,0.419,0.572,0.334,309914.0,Sabrine Ellouzi,2024-10-03 05:37:51
12827,716361,27,43902334,96,Lena Mahieu (FC Utrecht) Free Kick at 10',Lena Mahieu Free Kick,1,595,10',21978,0,0,1980-01-01,0.0,0.0,0.58,0.539,0.55,0.756,359612.0,Lena Mahieu,2024-10-03 05:37:51
12827,716361,28,43902335,77,Anouk Van Der Klooster (Excelsior) Save at 11',Anouk Van Der Klooster Save,1,633,11',20799,0,0,1980-01-01,0.0,0.0,0.096,0.468,0.0,0.0,392701.0,Anouk Van Der Klooster,2024-10-03 05:37:51
12827,716361,29,43902336,141,Lotje De Keijzer (FC Utrecht) Assists Shot at 11',Lotje De Keijzer Assists Shot,1,633,11',21978,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,316606.0,Lotje De Keijzer,2024-10-03 05:37:51
12827,716361,30,43902337,106,Elisha Kruize (FC Utrecht) Shot On Target at 11',Elisha Kruize Shot On Target,1,633,11',21978,0,0,1980-01-01,0.0,0.0,0.272,0.421,0.192,0.419,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,30,43902337,106,Elisha Kruize (FC Utrecht) Shot On Target at 11',Elisha Kruize Shot On Target,1,633,11',21978,0,0,1980-01-01,0.0,0.0,0.272,0.421,0.192,0.419,316606.0,Lotje De Keijzer,2024-10-03 05:37:51
12827,716361,31,43902338,95,Elisha Kruize (FC Utrecht) Corner Kick at 11',Elisha Kruize Corner Kick,1,634,11',21978,0,0,1980-01-01,0.0,0.0,0.108,0.386,0.0,0.0,347606.0,Elisha Kruize,2024-10-03 05:37:51
12827,716361,32,43902339,66,Gera Op Den Kelder (FC Utrecht) Foul at 12',Gera Op Den Kelder Foul,1,670,12',21978,0,0,1980-01-01,0.0,0.0,0.238,0.49,0.0,0.0,369851.0,Gera Op Den Kelder,2024-10-03 05:37:51
12827,716361,32,43902339,66,Gera Op Den Kelder (FC Utrecht) Foul at 12',Gera Op Den Kelder Foul,1,670,12',21978,0,0,1980-01-01,0.0,0.0,0.238,0.49,0.0,0.0,,Yara Helderman,2024-10-03 05:37:51
12827,716361,33,43902340,96,Yara Helderman (Excelsior) Free Kick at 12',Yara Helderman Free Kick,1,689,12',20799,0,0,1980-01-01,0.0,0.0,0.108,0.389,0.98,0.47,325986.0,Yara Helderman,2024-10-03 05:37:51
12827,716361,34,43902341,68,Yentl Van Goch (Excelsior) Offside at 12',Yentl Van Goch Offside,1,705,12',20799,0,0,1980-01-01,0.0,0.0,0.672,0.932,0.538,0.274,325879.0,Yentl Van Goch,2024-10-03 05:37:51
12827,716361,35,43902342,96,Lena Mahieu (FC Utrecht) Free Kick at 13',Lena Mahieu Free Kick,1,723,13',21978,0,0,1980-01-01,0.0,0.0,0.54,0.351,0.552,0.588,359612.0,Lena Mahieu,2024-10-03 05:37:51
12827,716361,36,43902343,124,Nurija Van Schoonhoven (FC Utrecht) Throw In at 13',Nurija Van Schoonhoven Throw In,1,759,13',21978,0,0,1980-01-01,0.0,0.0,0.896,0.0,0.848,0.149,309942.0,Nurija Van Schoonhoven,2024-10-03 05:37:51
12827,716361,37,43902344,66,Amber Visscher (FC Utrecht) Foul at 13',Amber Visscher Foul,1,763,13',21978,0,0,1980-01-01,0.0,0.0,0.632,0.294,0.0,0.0,334880.0,Amber Visscher,2024-10-03 05:37:51
12827,716361,37,43902344,66,Amber Visscher (FC Utrecht) Foul at 13',Amber Visscher Foul,1,763,13',21978,0,0,1980-01-01,0.0,0.0,0.632,0.294,0.0,0.0,,Lenthe Hardiek,2024-10-03 05:37:51
12827,716361,38,43902345,96,Lieke De With (Excelsior) Free Kick at 13',Lieke De With Free Kick,1,766,13',20799,0,0,1980-01-01,0.0,0.0,0.47,0.097,0.83,0.137,350364.0,Lieke De With,2024-10-03 05:37:51
